"pid","sid","Active","RPS","IR","Returns","Risk"
"9th Submission","d5c78bbc",0,0.16,7.83887720643266,0.109779330251392,0.0140044712221421
"10th Submission","d5c78bbc",0,0.16,-0.0172969537949137,-0.00014163688740651,0.00818854516730915
"11th Submission","d5c78bbc",0,0.16,0.570010171640681,0.00605104809538858,0.0106156844148441
"12th Submission","d5c78bbc",0,0.16,5.12181357186748,0.034201181895873,0.00667755306122999
"Global","d5c78bbc",NA,0.16,0.453469805791191,0.00531025898894036,0.0117102813045629
"1st Submission","f8fbd1bf",1,0.1914348927428,5.09053091106421,0.0505689788806704,0.00993393022538364
"2nd Submission","f8fbd1bf",1,0.1561939742474,-5.90859940887934,-0.0638194872360021,0.0108011193211195
"3rd Submission","f8fbd1bf",1,0.1563838439075,1.02820816534491,0.0163320627489438,0.0158840041339929
"4th Submission","f8fbd1bf",1,0.154872314644,-4.07845370952149,-0.0654316587257373,0.0160432515325555
"5th Submission","f8fbd1bf",1,0.1545946436305,0.459807945675117,0.00432897017821467,0.00941473547582702
"6th Submission","f8fbd1bf",1,0.1571436313434,5.92589386159367,0.0540733189519879,0.00912492194678724
"7th Submission","f8fbd1bf",1,0.1578156717551,-5.0070653129778,-0.0629650875566817,0.0125752478989005
"8th Submission","f8fbd1bf",1,0.1554163553353,-4.63872349230082,-0.0726783789207281,0.0156677540796206
"9th Submission","f8fbd1bf",1,0.1586700147143,7.70669365230368,0.109405109986168,0.0141961150815259
"10th Submission","f8fbd1bf",1,0.1566677008761,-0.862019325626428,-0.00720698091511187,0.00836057928269133
"11th Submission","f8fbd1bf",1,0.1557567482955,0.528017121379134,0.00560913858113187,0.0106230240536165
"12th Submission","f8fbd1bf",1,0.1576926845012,5.45388331493876,0.0389432612899043,0.00714046470030531
"Global","f8fbd1bf",NA,0.159386872999425,0.592448587312378,0.00715924726276001,0.0120841663159966
"1st Submission","8c13bdf6",1,0.1630250226482,4.35476216468828,0.0446704808127166,0.0102578462665398
"2nd Submission","8c13bdf6",1,0.1620021336158,-6.06041951584494,-0.061264576524739,0.0101089662794074
